Sentence #,Word,Tag
Frase26,il,O
Frase26,contesto,O
Frase26,per,O
Frase26,un,O
Frase26,seminario,B_NOME_SCENARIO
Frase26,di,O
Frase26,lavoro,O
Frase26,?,O
Frase27,Cambia,O
Frase27,il,O
Frase27,contesto,O
Frase27,con,O
Frase27,un'aula,B_NOME_SCENARIO
Frase27,universitaria,O
Frase27,.,O
Frase28,Puoi,O
Frase28,modificare,O
Frase28,l'atmosfera,O
Frase28,in,O
Frase28,una,O
Frase28,stanza,B_NOME_SCENARIO
Frase28,tranquilla,O
Frase28,?,O
Frase29,Cambia,O
Frase29,l'ambientazione,O
Frase29,per,O
Frase29,una,O
Frase29,presentazione,B_NOME_SCENARIO
Frase29,interattiva,O
Frase29,.,O
Frase30,Muxi,O
Frase30,",",O
Frase30,puoi,O
Frase30,cambiare,O
Frase30,l'ambiente,O
Frase30,per,O
Frase30,un,O
Frase30,workshop,B_NOME_SCENARIO
Frase30,di,O
Frase30,idee,O
Frase30,?,O
Frase31,Cambia,O
Frase31,l'ambiente,O
Frase31,per,O
Frase31,un,O
Frase31,evento,O
Frase31,di,O
Frase31,networking,B_NOME_SCENARIO
Frase31,.,O
Frase32,Puoi,O
Frase32,modificare,O
Frase32,l'atmosfera,O
Frase32,in,O
Frase32,una,O
Frase32,sala,O
Frase32,vivace,O
Frase32,e,O
Frase32,dinamica,B_NOME_SCENARIO
Frase32,?,O
Frase33,Cambia,O
Frase33,il,O
Frase33,contesto,O
Frase33,con,O
Frase33,uno,O
Frase33,spazio,B_NOME_SCENARIO
Frase33,per,O
Frase33,la,O
Frase33,collaborazione,O
Frase33,.,O
Frase34,Puoi,O
Frase34,cambiare,O
Frase34,l'ambientazione,O
Frase34,per,O
Frase34,una,O
Frase34,lezione,B_NOME_SCENARIO
Frase34,di,O
Frase34,gruppo,O
Frase34,?,O
Frase35,Modificami,O
Frase35,il,O
Frase35,contesto,O
Frase35,in,O
Frase35,luogo B_NOME_SCENARIO,
Frase35,informale,O
Frase35,.,O
Frase36,Metti,O
Frase36,un,O
Frase36,nuovo,O
Frase36,ambiente,O
Frase36,per,O
Frase36,una,O
Frase36,riunione,B_NOME_SCENARIO
Frase36,di,O
Frase36,lavoro,O
Frase36,.,O
Frase37,Puoi,O
Frase37,sostituire,O
Frase37,questo,O
Frase37,contesto,O
Frase37,con,O
Frase37,uno,O
Frase37,per,O
Frase37,una,O
Frase37,presentazione,B_NOME_SCENARIO
Frase37,creativa,O
Frase37,?,O
Frase38,Muxi,O
Frase38,",",O
Frase38,puoi,O
Frase38,cambiare,O
Frase38,il,O
Frase38,contesto,O
Frase38,per,O
Frase38,una,O
Frase38,sessione,O
Frase38,di,O
Frase38,formazione,B_NOME_SCENARIO
Frase38,?,O
Frase39,Modifica,O
Frase39,l'ambientazione,O
Frase39,per,O
Frase39,un,O
Frase39,evento,B_NOME_SCENARIO
Frase39,aziendale,O
Frase39,.,O
Frase40,Cambia,O
Frase40,l'atmosfera,O
Frase40,del,O
Frase40,prossimo,O
Frase40,incontro,O
Frase40,di,O
Frase40,squadra,B_NOME_SCENARIO
Frase40,.,O
Frase41,L'incontro,O
Frase41,successivo,O
Frase41,dovrebbe,O
Frase41,avere,O
Frase41,un'atmosfera,O
Frase41,più,O
Frase41,energica,B_NOME_SCENARIO
Frase41,.,O
Frase42,Puoi,O
Frase42,modificare,O
Frase42,l'ambientazione,O
Frase42,della,O
Frase42,conferenza,B_NOME_SCENARIO
Frase42,telefonica,O
Frase42,.,O
Frase43,Muxi,O
Frase43,",",O
Frase43,crea,O
Frase43,un'atmosfera,O
Frase43,in,O
Frase43,stile,O
Frase43,sala,O
Frase43,riunioni,B_NOME_SCENARIO
Frase43,per,O
Frase43,la,O
Frase43,videochiamata,O
Frase43,.,O
Frase44,Cambia,O
Frase44,l'atmosfera,O
Frase44,per,O
Frase44,una,O
Frase44,sessione,O
Frase44,di,O
Frase44,brainstorming,B_NOME_SCENARIO
Frase44,.,O
Frase45,Puoi,O
Frase45,impostare,O
Frase45,il,O
Frase45,contesto,O
Frase45,per,O
Frase45,un,O
Frase45,seminario,B_NOME_SCENARIO
Frase45,di,O
Frase45,formazione,O
Frase45,?,O
Frase46,Cambia,O
Frase46,il,O
Frase46,contesto,O
Frase46,con,O
Frase46,un'aula,B_NOME_SCENARIO
Frase46,universitaria,O
Frase46,.,O
Frase47,Puoi,O
Frase47,modificare,O
Frase47,l'atmosfera,O
Frase47,in,O
Frase47,una,O
Frase47,stanza,B_NOME_SCENARIO
Frase47,tranquilla,O
Frase47,?,O
Frase48,Cambia,O
Frase48,l'ambientazione,O
Frase48,per,O
Frase48,una,O
Frase48,presentazione,B_NOME_SCENARIO
Frase48,interattiva,O
Frase48,.,O
Frase49,Muxi,O
Frase49,",",O
Frase49,puoi,O
Frase49,cambiare,O
Frase49,l'ambiente,O
Frase49,per,O
Frase49,un,O
Frase49,workshop,B_NOME_SCENARIO
Frase49,di,O
Frase49,idee,O
Frase49,?,O
Frase50,Cambia,O
Frase50,l'ambiente,O
Frase50,per,O
Frase50,un,O
Frase50,meeting,B_NOME_SCENARIO
Frase51,Cambia,O
Frase51,lo,O
Frase51,scenario,O
Frase51,per,O
Frase51,la,O
Frase51,conferenza,B_NOME_SCENARIO
Frase51,.,O
Frase52,Puoi,O
Frase52,modificare,O
Frase52,l'ambiente,O
Frase52,della,O
Frase52,riunione,B_NOME_SCENARIO
Frase52,?,O
Frase53,Cambia,O
Frase53,lo,O
Frase53,scenario,O
Frase53,per,O
Frase53,un,O
Frase53,workshop,B_NOME_SCENARIO
Frase53,informale,O
Frase53,.,O
Frase54,Il,O
Frase54,prossimo,O
Frase54,meeting,O
Frase54,dovrebbe,O
Frase54,avere,O
Frase54,uno,O
Frase54,scenario,B_NOME_SCENARIO
Frase54,rilassato,O
Frase54,.,O
Frase55,Muxi,O
Frase55,",",O
Frase55,crea,O
Frase55,scenario,O
Frase55,garage,B_NOME_SCENARIO
Frase55,per,O
Frase55,il,O
Frase55,meeting,O
Frase55,online,O
Frase55,.,O
Frase56,Cambia,O
Frase56,lo,O
Frase56,scenario,O
Frase56,della,O
Frase56,sessione,B_NOME_SCENARIO
Frase56,di,O
Frase56,brainstorming,O
Frase56,.,O
Frase57,Puoi,O
Frase57,impostare,O
Frase57,lo,O
Frase57,scenario,O
Frase57,per,O
Frase57,un,O
Frase57,seminario,B_NOME_SCENARIO
Frase57,di,O
Frase57,formazione,O
Frase57,?,O
Frase58,Cambia,O
Frase58,lo,O
Frase58,scenario,O
Frase58,in,O
Frase58,un'aula,B_NOME_SCENARIO
Frase58,universitaria,O
Frase58,.,O
Frase59,Puoi,O
Frase59,modificare,O
Frase59,lo,O
Frase59,scenario,O
Frase59,in,O
Frase59,uno,O
Frase59,spazio,B_NOME_SCENARIO
Frase59,tranquillo,O
Frase59,?,O
Frase60,Cambia,O
Frase60,l'ambientazione,O
Frase60,per,O
Frase60,una,O
Frase60,presentazione,B_NOME_SCENARIO
Frase60,interattiva,O
Frase60,.,O
Frase61,Cambia,O
Frase61,lo,O
Frase61,scenario,O
Frase61,per,O
Frase61,la,O
Frase61,conferenza,B_NOME_SCENARIO
Frase61,telefonica,O
Frase61,.,O
Frase62,Puoi,O
Frase62,modificare,O
Frase62,il,O
Frase62,contesto,O
Frase62,della,O
Frase62,riunione,B_NOME_SCENARIO
Frase62,online,O
Frase62,?,O
Frase63,Cambia,O
Frase63,lo,O
Frase63,scenario,O
Frase63,per,O
Frase63,un,O
Frase63,workshop,B_NOME_SCENARIO
Frase63,collaborativo,O
Frase63,.,O
Frase64,Il,O
Frase64,prossimo,O
Frase64,meeting,O
Frase64,dovrebbe,O
Frase64,avere,O
Frase64,l'atmosfera,O
Frase64,di,O
Frase64,una,O
Frase64,festa,B_NOME_SCENARIO
Frase64,.,O
Frase65,Muxi,O
Frase65,",",O
Frase65,crea,O
Frase65,scenario,O
Frase65,spiaggia,B_NOME_SCENARIO
Frase65,per,O
Frase65,la,O
Frase65,videochiamata,O
Frase65,.,O
Frase66,Cambia,O
Frase66,l'ambientazione,O
Frase66,della,O
Frase66,sessione,B_NOME_SCENARIO
Frase66,di,O
Frase66,lavoro,O
Frase66,di,O
Frase66,gruppo,O
Frase66,.,O
Frase67,Puoi,O
Frase67,mettere,O
Frase67,lo,O
Frase67,scenario,O
Frase67,di,O
Frase67,una,O
Frase67,classe,B_NOME_SCENARIO
Frase67,?,O
Frase68,Modifica,O
Frase68,il,O
Frase68,contesto,O
Frase68,in,O
Frase68,uno,B_NOME_SCENARIO
Frase68,studio,O
Frase68,.,O
Frase69,Puoi,O
Frase69,cambiare,O
Frase69,lo,O
Frase69,scenario,O
Frase69,in,O
Frase69,un,O
Frase69,salotto,B_NOME_SCENARIO
Frase69,confortevole,O
Frase69,?,O
Frase70,Cambia,O
Frase70,l'ambientazione,O
Frase70,per,O
Frase70,una,O
Frase70,presentazione,B_NOME_SCENARIO
Frase70,divertente,O
Frase70,.,O
Frase71,Cambia,O
Frase71,l'ambientazione,O
Frase71,in,O
Frase71,uno,O
Frase71,scenario,O
Frase71,spaziale,B_NOME_SCENARIO
Frase71,.,O
Frase72,Puoi,O
Frase72,mettere,O
Frase72,uno,O
Frase72,scenario,O
Frase72,sottomarino,B_NOME_SCENARIO
Frase72,per,O
Frase72,la,O
Frase72,riunione,O
Frase72,online,O
Frase73,Cambia,O
Frase73,il,O
Frase73,contesto,O
Frase73,in,O
Frase73,uno,O
Frase73,scenario,O
Frase73,medievale,B_NOME_SCENARIO
Frase73,.,O
Frase74,Il,O
Frase74,prossimo,O
Frase74,meeting,O
Frase74,dovrebbe,O
Frase74,avere,O
Frase74,l'atmosfera,O
Frase74,di,O
Frase74,una,O
Frase74,foresta,B_NOME_SCENARIO
Frase74,.,O
Frase75,Muxi,O
Frase75,",",O
Frase75,crea,O
Frase75,uno,O
Frase75,scenario,O
Frase75,safari,B_NOME_SCENARIO
Frase75,per,O
Frase75,la,O
Frase75,lezione,O
Frase75,online,O
Frase76,Cambia,O
Frase76,il,O
Frase76,contesto,O
Frase76,in,O
Frase76,uno,O
Frase76,scenario,O
Frase76,futuristico,B_NOME_SCENARIO
Frase76,.,O
Frase77,Puoi,O
Frase77,mettere,O
Frase77,uno,O
Frase77,scenario,O
Frase77,galattico,B_NOME_SCENARIO
Frase77,per,O
Frase77,il,O
Frase77,seminario,O
Frase77,?,O
Frase78,Modifica,O
Frase78,l'ambientazione,O
Frase78,in,O
Frase78,uno,O
Frase78,scenario,O
Frase78,da,O
Frase78,cartone,B_NOME_SCENARIO
Frase78,animato,O
Frase79,Puoi,O
Frase79,cambiare,O
Frase79,il,O
Frase79,contesto,O
Frase79,in,O
Frase79,uno,O
Frase79,scenario,O
Frase79,da,O
Frase79,film,B_NOME_SCENARIO
Frase79,horror,O
Frase80,Cambia,O
Frase80,l'ambientazione,O
Frase80,per,O
Frase80,una,O
Frase80,presentazione,O
Frase80,teatrale,B_NOME_SCENARIO
Frase81,Cambia,O
Frase81,il,O
Frase81,contesto,O
Frase81,in,O
Frase81,uno,O
Frase81,scenario,O
Frase81,tropicale,B_NOME_SCENARIO
Frase81,.,O
Frase82,Puoi,O
Frase82,mettere,O
Frase82,uno,O
Frase82,scenario,O
Frase82,arte,O
Frase82,moderna,B_NOME_SCENARIO
Frase82,per,O
Frase82,la,O
Frase82,visita,O
Frase82,virtuale,O
Frase83,Cambia,O
Frase83,l'ambientazione,O
Frase83,in,O
Frase83,uno,O
Frase83,scenario,O
Frase83,western,B_NOME_SCENARIO
Frase83,.,O
Frase84,Il,O
Frase84,prossimo,O
Frase84,meeting,O
Frase84,dovrebbe,O
Frase84,avere,O
Frase84,l'atmosfera,O
Frase84,di,O
Frase84,un,O
Frase84,parco,B_NOME_SCENARIO
Frase84,divertimenti,O
Frase84,.,O
Frase85,Muxi,O
Frase85,",",O
Frase85,crea,O
Frase85,uno,O
Frase85,scenario,O
Frase85,giungla,B_NOME_SCENARIO
Frase85,per,O
Frase85,la,O
Frase85,lezione,O
Frase85,di,O
Frase85,gruppo,O
Frase86,Cambia,O
Frase86,il,O
Frase86,contesto,O
Frase86,della,O
Frase86,sessione,O
Frase86,di,O
Frase86,formazione,B_NOME_SCENARIO
Frase86,.,O
Frase87,Puoi,O
Frase87,mettere,O
Frase87,uno,O
Frase87,scenario,O
Frase87,teatro,B_NOME_SCENARIO
Frase87,greco,O
Frase87,per,O
Frase87,la,O
Frase87,presentazione,O
Frase88,Modifica,O
Frase88,l'ambiente,O
Frase88,in,O
Frase88,uno,O
Frase88,scenario,O
Frase88,policromatico,B_NOME_SCENARIO
Frase88,pop,O
Frase88,art,O
Frase89,Puoi,O
Frase89,cambiare,O
Frase89,il,O
Frase89,contesto,O
Frase89,in,O
Frase89,uno,O
Frase89,scenario,O
Frase89,acquatico,B_NOME_SCENARIO
Frase89,subacqueo,O
Frase90,Cambia,O
Frase90,l'ambientazione,O
Frase90,per,O
Frase90,una,O
Frase90,presentazione,O
Frase90,musicale,B_NOME_SCENARIO
Frase91,Cambia,O
Frase91,l'ambiente,O
Frase91,in,O
Frase91,uno,O
Frase91,scenario,O
Frase91,polare,B_NOME_SCENARIO
Frase91,.,O
Frase92,Puoi,O
Frase92,mettere,O
Frase92,uno,O
Frase92,scenario,O
Frase92,castello,B_NOME_SCENARIO
Frase92,medievale,O
Frase92,per,O
Frase92,l'evento,O
Frase92,online,O
Frase93,Cambia,O
Frase93,il,O
Frase93,contesto,O
Frase93,in,O
Frase93,uno,O
Frase93,scenario,O
Frase93,giurassico,B_NOME_SCENARIO
Frase93,.,O
Frase94,Il,O
Frase94,prossimo,O
Frase94,meeting,O
Frase94,dovrebbe,O
Frase94,avere,O
Frase94,l'atmosfera,O
Frase94,di,O
Frase94,un,O
Frase94,parco,B_NOME_SCENARIO
Frase94,acquatico,O
Frase95,Muxi,O
Frase95,",",O
Frase95,crea,O
Frase95,uno,O
Frase95,scenario,O
Frase95,vulcano,B_NOME_SCENARIO
Frase95,per,O
Frase95,la,O
Frase95,conferenza,O
Frase95,online,O
Frase96,Cambia,O
Frase96,il,O
Frase96,contesto,O
Frase96,della,O
Frase96,sessione,O
Frase96,di,O
Frase96,lavoro,B_NOME_SCENARIO
Frase96,.,O
Frase97,Puoi,O
Frase97,mettere,O
Frase97,uno,O
Frase97,scenario,O
Frase97,fantascientifico,B_NOME_SCENARIO
Frase97,per,O
Frase97,la,O
Frase97,lezione,O
Frase98,Modifica,O
Frase98,l'ambiente,O
Frase98,in,O
Frase98,uno,O
Frase98,scenario,O
Frase98,cyberpunk,B_NOME_SCENARIO
Frase98,.,O
Frase99,Puoi,O
Frase99,cambiare,O
Frase99,il,O
Frase99,contesto,O
Frase99,in,O
Frase99,uno,O
Frase99,scenario,O
Frase99,spaziale,B_NOME_SCENARIO
Frase100,Cambia,O
Frase100,l'ambientazione,O
Frase100,per,O
Frase100,una,O
Frase100,presentazione,O
Frase100,futurista,B_NOME_SCENARIO
Frase101,Cambia,O
Frase101,il,O
Frase101,contesto,O
Frase101,in,O
Frase101,uno,O
Frase101,scenario,O
Frase101,pianeta,B_NOME_SCENARIO
Frase101,alieno,O
Frase102,Puoi,O
Frase102,mettere,O
Frase102,uno,O
Frase102,scenario,O
Frase102,astronave,B_NOME_SCENARIO
Frase102,per,O
Frase102,il,O
Frase102,meeting,O
Frase102,online,O
Frase103,Cambia,O
Frase103,l'ambientazione,O
Frase103,in,O
Frase103,uno,O
Frase103,scenario,O
Frase103,fantasy,B_NOME_SCENARIO
Frase103,.,O
Frase104,Il,O
Frase104,prossimo,O
Frase104,meeting,O
Frase104,dovrebbe,O
Frase104,avere,O
Frase104,l'atmosfera,O
Frase104,di,O
Frase104,una,O
Frase104,giungla,B_NOME_SCENARIO
Frase104,.,O
Frase105,Muxi,O
Frase105,",",O
Frase105,crea,O
Frase105,uno,O
Frase105,scenario,O
Frase105,terraformazione,B_NOME_SCENARIO
Frase105,per,O
Frase105,il,O
Frase105,seminario,O
Frase105,online,O
Frase106,Cambia,O
Frase106,il,O
Frase106,contesto,O
Frase106,della,O
Frase106,sessione,O
Frase106,di,O
Frase106,brainstorming,B_NOME_SCENARIO
Frase106,.,O
Frase107,Puoi,O
Frase107,mettere,O
Frase107,uno,O
Frase107,scenario,O
Frase107,metropoli,B_NOME_SCENARIO
Frase107,futura,O
Frase107,per,O
Frase107,la,O
Frase107,lezione,O
Frase108,Modifica,O
Frase108,l'ambiente,O
Frase108,in,O
Frase108,uno,O
Frase108,scenario,O
Frase108,psichedelico,B_NOME_SCENARIO
Frase108,pop,O
Frase108,art,O
Frase109,Puoi,O
Frase109,cambiare,O
Frase109,il,O
Frase109,contesto,O
Frase109,in,O
Frase109,uno,O
Frase109,scenario,O
Frase109,città,B_NOME_SCENARIO
Frase109,sottomarina,O
Frase110,Cambia,O
Frase110,l'ambientazione,O
Frase110,per,O
Frase110,una,O
Frase110,presentazione,O
Frase110,steampunk,B_NOME_SCENARIO
Frase111,Cambia,O
Frase111,il,O
Frase111,contesto,O
Frase111,in,O
Frase111,uno,O
Frase111,scenario,O
Frase111,artico,B_NOME_SCENARIO
Frase111,.,O
Frase112,Puoi,O
Frase112,mettere,O
Frase112,uno,O
Frase112,scenario,O
Frase112,cattedrale,B_NOME_SCENARIO
Frase112,gotica,O
Frase112,per,O
Frase112,il,O
Frase112,seminario,O
Frase112,online,O
Frase113,Cambia,O
Frase113,l'ambientazione,O
Frase113,in,O
Frase113,uno,O
Frase113,scenario,O
Frase113,esercito,B_NOME_SCENARIO
Frase113,.,O
Frase114,Il,O
Frase114,prossimo,O
Frase114,meeting,O
Frase114,dovrebbe,O
Frase114,avere,O
Frase114,l'atmosfera,O
Frase114,di,O
Frase114,un,O
Frase114,deserto,B_NOME_SCENARIO
Frase114,.,O
Frase115,Muxi,O
Frase115,",",O
Frase115,crea,O
Frase115,uno,O
Frase115,scenario,O
Frase115,caverna,B_NOME_SCENARIO
Frase115,per,O
Frase115,la,O
Frase115,lezione,O
Frase115,online,O
Frase116,Cambia,O
Frase116,il,O
Frase116,contesto,O
Frase116,della,O
Frase116,sessione,O
Frase116,di,O
Frase116,lavoro,B_NOME_SCENARIO
Frase116,di,O
Frase116,gruppo,O
Frase117,Puoi,O
Frase117,mettere,O
Frase117,uno,O
Frase117,scenario,O
Frase117,marziano,B_NOME_SCENARIO
Frase117,per,O
Frase117,il,O
Frase117,workshop,O
Frase118,Modifica,O
Frase118,l'ambiente,O
Frase118,in,O
Frase118,uno,O
Frase118,scenario,O
Frase118,cinema,B_NOME_SCENARIO
Frase118,vintage,O
Frase119,Puoi,O
Frase119,cambiare,O
Frase119,il,O
Frase119,contesto,O
Frase119,in,O
Frase119,uno,O
Frase119,scenario,O
Frase119,città,B_NOME_SCENARIO
Frase119,del,O
Frase119,futuro,O
Frase120,Cambia,O
Frase120,lo,O
Frase120,scenario,O
Frase120,in,O
Frase120,garage,B_NOME_SCENARIO
Frase121,Cambia,O
Frase121,l'ambiente,O
Frase121,in,O
Frase121,uno,O
Frase121,scenario,O
Frase121,meeting,B_NOME_SCENARIO
Frase121,.,O
Frase122,Puoi,O
Frase122,mettere,O
Frase122,uno,O
Frase122,scenario,O
Frase122,collaborazione,B_NOME_SCENARIO
Frase122,per,O
Frase122,l'evento,O
Frase122,online,O
Frase123,Cambia,O
Frase123,il,O
Frase123,contesto,O
Frase123,in,O
Frase123,uno,O
Frase123,scenario,O
Frase123,discussioni,B_NOME_SCENARIO
Frase123,.,O
Frase124,Il,O
Frase124,prossimo,O
Frase124,meeting,O
Frase124,dovrebbe,O
Frase124,avere,O
Frase124,l'atmosfera,O
Frase124,di,O
Frase124,un,O
Frase124,scenario,O
Frase124,colloqui,B_NOME_SCENARIO
Frase125,Muxi,O
Frase125,",",O
Frase125,crea,O
Frase125,uno,O
Frase125,scenario,O
Frase125,garage,B_NOME_SCENARIO
Frase125,per,O
Frase125,la,O
Frase125,conferenza,O
Frase125,online,O
Frase126,Cambia,O
Frase126,il,O
Frase126,contesto,O
Frase126,della,O
Frase126,sessione,O
Frase126,di,O
Frase126,simulazione,B_NOME_SCENARIO
Frase126,.,O
Frase127,Puoi,O
Frase127,mettere,O
Frase127,uno,O
Frase127,scenario,O
Frase127,colloqui,B_NOME_SCENARIO
Frase127,per,O
Frase127,la,O
Frase127,lezione,O
Frase128,Modifica,O
Frase128,l'ambiente,O
Frase128,in,O
Frase128,uno,O
Frase128,scenario,O
Frase128,collaborazione,B_NOME_SCENARIO
Frase129,Puoi,O
Frase129,cambiare,O
Frase129,il,O
Frase129,contesto,O
Frase129,in,O
Frase129,uno,O
Frase129,scenario,O
Frase129,meeting,B_NOME_SCENARIO
Frase130,Cambia,O
Frase130,l'ambientazione,O
Frase130,per,O
Frase130,una,O
Frase130,presentazione,O
Frase130,simulazione,B_NOME_SCENARIO
Frase131,Cambia,O
Frase131,l'ambiente,O
Frase131,in,O
Frase131,uno,O
Frase131,scenario,O
Frase131,summit,B_NOME_SCENARIO
Frase131,.,O
Frase132,Puoi,O
Frase132,mettere,O
Frase132,uno,O
Frase132,scenario,O
Frase132,cooperazione,B_NOME_SCENARIO
Frase132,per,O
Frase132,l'evento,O
Frase132,online,O
Frase133,Cambia,O
Frase133,il,O
Frase133,contesto,O
Frase133,in,O
Frase133,uno,O
Frase133,scenario,O
Frase133,dibattito,B_NOME_SCENARIO
Frase133,.,O
Frase134,Il,O
Frase134,prossimo,O
Frase134,meeting,O
Frase134,dovrebbe,O
Frase134,avere,O
Frase134,l'atmosfera,O
Frase134,di,O
Frase134,un,O
Frase134,scenario,O
Frase134,conversazione,B_NOME_SCENARIO
Frase135,Muxi,O
Frase135,",",O
Frase135,crea,O
Frase135,uno,O
Frase135,scenario,O
Frase135,officina,B_NOME_SCENARIO
Frase135,per,O
Frase135,la,O
Frase135,conferenza,O
Frase135,online,O
Frase136,Cambia,O
Frase136,il,O
Frase136,contesto,O
Frase136,dell',O
Frase136,sessione,O
Frase136,di,O
Frase136,simulazione,B_NOME_SCENARIO
Frase136,.,O
Frase137,Puoi,O
Frase137,mettere,O
Frase137,uno,O
Frase137,scenario,O
Frase137,dialogo,B_NOME_SCENARIO
Frase137,per,O
Frase137,la,O
Frase137,lezione,O
Frase138,Modifica,O
Frase138,l'ambiente,O
Frase138,in,O
Frase138,uno,O
Frase138,scenario,O
Frase138,cooperazione,B_NOME_SCENARIO
Frase139,Puoi,O
Frase139,cambiare,O
